Apply,Apply,"Deeplink directs the customer to the Apply section of the app.
",Y,Y
Apply,"ApplyWithData
","Deeplink directs the customer to the Apply section of the app, all tracking parameters from the deep link URL will be extracted and saved in session cache and will be used to launch web content when an Apply tile is selected
",Y,Y
App Theme settings (Dark Mode settings) ,AppTheme," Takes user to App Theme setting screen where user can select their preference for Light or Dark Mode, or use the device settings for such",Y,N
Banking My Way,BankingMyWay,"Deeplink directs the customer to the start of the Banking My Way journey.
",Y,Y
Android/Apple Pay,CardPayInfoActivation,"Take user to Android/Apple Pay journey as standard in the app.
",Y,Y
"Change of Email
","Change of Email
","Deeplink directs the customers to the Change of Email screen upon succesful eligibility checks.
",Y,Y
"Show Me Hub - Coming Soon
",ComingSoonHome,"ComingSoonHome
",N,Y
"Credit Cards : Balance Transfer
","CreditCardBalanceTransfer
","CreditCardBalanceTransfer
",N,Y
"Edit account nickname
",EditAccountNickName,Takes user to Edit account nickname page (More -> Settings - Edit account nickname),N,Y
 Home Insurance Quote,"homeinsurancequote
","In app web view deeplink to initiate home insurance quote journey. Customers will be redirected to the home insurance quote web view.
",Y,N
"Change of Address
","PersonalAddressChange
","Takes user to ""Change Address"" screen where user can initiate personal change of address journey
",Y,Y
